Date,US,Germany,Italy
1/22/20,1,0,0
1/23/20,1,0,0
1/24/20,2,0,0
1/25/20,2,0,0
1/26/20,5,0,0
1/27/20,5,1,0
1/28/20,5,4,0
1/29/20,6,4,0
1/30/20,6,4,0
1/31/20,8,5,2
2/1/20,8,8,2
2/2/20,8,10,2
2/3/20,11,12,2
2/4/20,11,12,2
2/5/20,11,12,2
2/6/20,12,12,2
2/7/20,12,13,3
2/8/20,12,13,3
2/9/20,12,14,3
2/10/20,12,14,3
2/11/20,13,16,3
2/12/20,13,16,3
2/13/20,14,16,3
2/14/20,14,16,3
2/15/20,14,16,3
2/16/20,14,16,3
2/17/20,14,16,3
2/18/20,14,16,3
2/19/20,14,16,3
2/20/20,14,16,3
2/21/20,16,16,20
2/22/20,16,16,62
2/23/20,16,16,155
2/24/20,16,16,229
2/25/20,16,16,322
2/26/20,16,21,453
2/27/20,17,26,655
2/28/20,17,53,888
2/29/20,25,66,1128
3/1/20,32,117,1694
3/2/20,55,150,2036
3/3/20,74,188,2502
3/4/20,107,240,3089
3/5/20,184,349,3858
3/6/20,237,534,4636
3/7/20,403,684,5883
3/8/20,519,847,7375
3/9/20,594,1112,9172
3/10/20,782,1296,10149
3/11/20,1147,1567,12462
3/12/20,1586,2369,15113
3/13/20,2219,3062,17660
3/14/20,2978,3795,21157
3/15/20,3212,4838,24747
3/16/20,4679,6012,27980
3/17/20,6512,7156,31506
3/18/20,9169,8198,35713
3/19/20,13663,10999,41035
3/20/20,20030,13957,47021
3/21/20,26025,16662,53578
3/22/20,34944,18610,59138
3/23/20,46096,22672,63927
3/24/20,56714,27436,69176
3/25/20,68841,31554,74386
3/26/20,86662,36508,80589
3/27/20,105253,42288,86498
3/28/20,127417,48582,92472
3/29/20,143544,52547,97689
3/30/20,165698,57298,101739
3/31/20,192079,61913,105792
4/1/20,223254,67366,110574
4/2/20,255530,73522,115242
4/3/20,287931,79696,119827
4/4/20,319776,85778,124632
4/5/20,349016,91714,128948
4/6/20,380798,95391,132547
4/7/20,410834,99225,135586
4/8/20,441897,103228,139422
4/9/20,477507,108202,143626
4/10/20,511790,113525,147577
4/11/20,540714,117658,152271
4/12/20,567022,120479,156363
4/13/20,594165,123016,159516
4/14/20,622493,125098,162488
4/15/20,648390,127584,165155
4/16/20,678028,130450,168941
4/17/20,711135,133830,172434
4/18/20,738464,137439,175925
4/19/20,763886,139897,178972
4/20/20,793970,141672,181228
4/21/20,820045,143457,183957
4/22/20,849926,145694,187327
4/23/20,881891,148046,189973
4/24/20,913856,150383,192994
4/25/20,944770,152438,195351
4/26/20,970741,154175,197675
4/27/20,995391,155193,199414
4/28/20,1019964,156337,201505
4/29/20,1046816,157641,203591
4/30/20,1076518,159119,205463
5/1/20,1111410,160758,207428
5/2/20,1138174,161703,209328
5/3/20,1161907,162496,210717
5/4/20,1185709,163175,211938
5/5/20,1209727,163860,213013
5/6/20,1234209,164807,214457
5/7/20,1261948,166091,215858
5/8/20,1289131,167300,217185
5/9/20,1313585,168551,218268
5/10/20,1332332,169218,219070
5/11/20,1351409,169575,219814
5/12/20,1374790,170508,221216
5/13/20,1394805,171306,222104
5/14/20,1420695,172239,223096
5/15/20,1445546,173152,223885
5/16/20,1469596,173772,224760
5/17/20,1488325,174355,225435
5/18/20,1510633,174697,225886
5/19/20,1531136,175210,226699
5/20/20,1553962,176007,227364
5/21/20,1579114,176752,228006
5/22/20,1602943,177212,228658
5/23/20,1623132,177850,229327
5/24/20,1643306,178281,229858
5/25/20,1662400,178570,230158
5/26/20,1681126,179002,230555
5/27/20,1699889,179364,231139
5/28/20,1721156,179717,231732
5/29/20,1746238,180458,232248
5/30/20,1769318,181196,232664
5/31/20,1788237,181482,232997
6/1/20,1806077,181815,233197
6/2/20,1826167,182028,233515
6/3/20,1845323,182370,233836
6/4/20,1873257,182764,234013
6/5/20,1899697,183271,234531
6/6/20,1919966,183678,234801
6/7/20,1937792,183979,234998
6/8/20,1954692,184193,235278
6/9/20,1975013,184543,235561
6/10/20,1996731,184861,235763
6/11/20,2019009,185416,236142
6/12/20,2044567,185674,236305
6/13/20,2068724,186022,236651
6/14/20,2087625,186269,236989
6/15/20,2108624,186461,237290
6/16/20,2133173,186839,237500
6/17/20,2160223,187184,237828
6/18/20,2188450,187764,238159
6/19/20,2219504,188534,238011
6/20/20,2251330,189135,238275
6/21/20,2277166,189822,238499
6/22/20,2306967,190359,238720
6/23/20,2345696,190862,238833
6/24/20,2381947,191449,239410
6/25/20,2421246,192079,239706
6/26/20,2470292,192556,239961
6/27/20,2511046,193243,240136
6/28/20,2553971,193499,240310
6/29/20,2595266,193761,240436
6/30/20,2645090,194259,240578
7/1/20,2694213,194725,240760
7/2/20,2749156,195228,240961
7/3/20,2800660,195674,241184
7/4/20,2846606,196096,241419
7/5/20,2900334,196335,241611
7/6/20,2943499,196554,241819
7/7/20,3000730,196944,241956
7/8/20,3061036,197341,242149
7/9/20,3120692,197783,242363
7/10/20,3189551,198178,242639
